ngay,tenTram,year,month,day,doCaoDinhT,doCaoChanT,wl_mean,residual_peak,alarm_level,tide_max,tide_min,tide_mean,tide_range,tide_mean_lag1,rain,rain_max_intensity,rain_hours,rain_lag1,rain_lag2,rain_lag3,rain_lag7,rain_roll3,rain_roll7,rain_mean3,rain_mean7,month_sin,month_cos,doy_sin,doy_cos,dist_to_river_m,tide_inf_sigmoid,tide_inf_exp,pct_impervious,channel_length_m,channel_density_m_m2,lon,lat
2022-10-07,Củ Chi,2022,10,7,0.9481543400596004,-1.0038456599403998,0.26452934005960027,-3.2898456599404,0.0,4.238,1.105,2.9892916666666665,3.1330000000000005,2.913958333333333,25.6,9.8,8.0,0.4,16.6,0.2,0.2,42.6,54.400000000000006,14.200000000000001,7.771428571428572,-0.8660254037844386,0.5000000000000001,-0.9945667569706337,0.1041007489354256,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-08,Củ Chi,2022,10,8,0.9871543400596,-0.9898456599403996,0.37592170117071144,-3.2998456599404,0.0,4.287,1.176,3.0267083333333336,3.111,2.9892916666666665,28.4,6.2,21.0,25.6,0.4,16.6,0.4,54.4,82.4,18.133333333333333,11.771428571428572,-0.8660254037844386,0.5000000000000001,-0.9926289059345095,0.121193461470736,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-09,Củ Chi,2022,10,9,1.0321543400596005,-0.6488456599403998,0.4277619789484892,-3.3408456599404,0.0,4.373,1.465,3.1002916666666667,2.9080000000000004,3.0267083333333336,2.2,0.2,11.0,28.4,25.6,0.4,0.8,56.2,83.80000000000001,18.733333333333334,11.971428571428573,-0.8660254037844386,0.5000000000000001,-0.9903973200352558,0.1382503109109819,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-10,Củ Chi,2022,10,10,1.0761543400596003,-0.4738456599403997,0.482071006726267,-3.2768456599403994,0.0,4.353,1.746,3.110583333333333,2.607,3.1002916666666667,17.0,5.6,17.0,2.2,28.4,25.6,10.4,47.599999999999994,90.4,15.866666666666665,12.914285714285715,-0.8660254037844386,0.5000000000000001,-0.9878726596350429,0.15526624985999563,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-11,Củ Chi,2022,10,11,1.0981543400596003,-0.3558456599403996,0.5063800345040447,-3.2748456599404,0.0,4.373,1.525,3.119,2.8480000000000003,3.110583333333333,3.4000000000000004,3.2,2.0,17.0,2.2,28.4,0.2,22.6,93.6,7.533333333333334,13.37142857142857,-0.8660254037844386,0.5000000000000001,-0.9850556718215013,0.172236243027682,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-12,Củ Chi,2022,10,12,1.1171543400596005,-0.3048456599403997,0.5576265622818225,-3.2928456599404,0.0,4.41,1.398,3.248666666666667,3.0120000000000005,3.119,0.0,0.0,0.0,3.4000000000000004,17.0,2.2,16.6,20.4,77.0,6.8,11.0,-0.8660254037844386,0.5000000000000001,-0.981947190186646,0.18915526872004093,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-13,Củ Chi,2022,10,13,1.0991543400596002,-0.3568456599403997,0.5643939233929337,-3.2128456599404,0.0,4.312,1.3,3.171291666666667,3.0120000000000005,3.248666666666667,0.0,0.0,0.0,0.0,3.4000000000000004,17.0,0.4,3.4000000000000004,76.6,1.1333333333333335,10.942857142857141,-0.8660254037844386,0.5000000000000001,-0.9785481345802031,0.20601832032517084,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-14,Củ Chi,2022,10,14,1.0251543400596004,-0.5638456599403996,0.4598661456151559,-3.0338456599403996,0.0,4.059,1.205,3.1131666666666664,2.854,3.171291666666667,8.4,4.8,4.0,0.0,0.0,3.4000000000000004,25.6,8.4,59.400000000000006,2.8000000000000003,8.485714285714286,-0.8660254037844386,0.5000000000000001,-0.9748595108374125,0.22282040779479959,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-15,Củ Chi,2022,10,15,0.9191543400596004,-0.7558456599403997,0.34322725672626697,-3.0298456599403996,0.0,3.949,1.412,3.1381666666666668,2.537,3.1131666666666664,0.0,0.0,0.0,8.4,0.0,0.0,28.4,8.4,31.0,2.8000000000000003,4.428571428571429,-0.8660254037844386,0.5000000000000001,-0.9708824104813836,0.23955655912092708,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
2022-10-16,Củ Chi,2022,10,16,0.8721543400596004,-0.9018456599403996,0.27544253450404477,-2.9518456599403997,0.0,3.824,1.651,3.1510416666666665,2.173,3.1381666666666668,0.0,0.0,0.0,0.0,8.4,0.0,2.2,8.4,28.8,2.8000000000000003,4.114285714285715,-0.8660254037844386,0.5000000000000001,-0.9666180104000972,0.2562218218071163,841.645767323727,0.0318,0.1858,0.5212,1033.88,0.000329,106.512778,10.955556
